n,t
1791,878
1792,880
1793,893
1794,881
1795,877
1796,878
1797,880
1798,880
1799,883
1800,881
1801,889
1802,886
1803,890
1804,885
1805,907
1806,882
1807,883
1808,886
1809,898
1810,898
1811,892
1812,890
1813,887
1814,887
1815,890
1816,887
1817,889
1818,892
1819,891
1820,897
1821,912
1822,913
1823,893
1824,897
1825,905
1826,897
1827,895
1828,901
1829,899
1830,896
1831,921
1832,921
1833,897
1834,899
1835,900
1836,914
1837,923
1838,947
1839,966
1840,905
1841,901
1842,942
1843,925
1844,921
1845,904
1846,948
1847,940
1848,925
1849,929
1850,911
1851,907
1852,903
1853,914
1854,925
1855,952
1856,951
1857,919
1858,919
1859,917
1860,943
1861,922
1862,920
1863,927
1864,923
1865,927
1866,924
1867,927
1868,924
1869,930
1870,924
1871,916
1872,921
1873,940
1874,925
1875,924
1876,934
1877,921
1878,923
1879,921
1880,924
1881,945
1882,923
1883,926
1884,926
1885,921
1886,928
1887,936
1888,929
1889,927
1890,947
1891,940
1892,934
1893,936
1894,930
1895,928
1896,927
1897,930
1898,960
1899,931
1900,928
1901,932
1902,934
1903,936
1904,939
1905,943
1906,934
1907,935
1908,933
1909,934
1910,941
1911,947
1912,938
1913,939
1914,938
1915,941
1916,938
1917,938
1918,960
1919,944
1920,943
1921,943
1922,942
1923,942
1924,944
1925,944
1926,949
1927,943
1928,944
1929,945
1930,944
1931,953
1932,949
1933,959
1934,953
1935,947
1936,949
1937,952
1938,953
1939,961
1940,957
1941,950
1942,954
1943,953
1944,951
1945,959
1946,953
1947,952
1948,968
1949,953
1950,967
1951,960
1952,959
1953,963
1954,958
1955,963
1956,956
1957,971
1958,960
1959,965
1960,960
1961,969
1962,965
1963,962
1964,960
1965,965
1966,964
1967,983
1968,971
1969,968
1970,965
1971,967
1972,971
1973,991
1974,1012
1975,970
1976,974
1977,993
1978,973
1979,992
1980,972
1981,969
1982,982
1983,971
1984,974
1985,989
1986,1005
1987,976
1988,980
1989,976
1990,974
1991,978
1992,982
1993,992
1994,977
1995,978
1996,988
1997,978
1998,978
1999,983
2000,1005
2001,986
2002,980
2003,987
2004,983
2005,996
2006,985
2007,989
2008,990
2009,982
2010,985
2011,985
2012,1002
2013,988
2014,1010
2015,988
2016,992
2017,987
2018,991
2019,995
2020,1001
2021,988
2022,994
2023,992
2024,991
2025,991
2026,996
2027,1010
2028,995
2029,994
2030,998
2031,1042
2032,1045
2033,1046
2034,1048
2035,1061
2036,1052
2037,1053
2038,1052
2039,1052
2040,1051
2041,1057
2042,1070
2043,1063
2044,1057
2045,1054
2046,1055
2047,1058
2048,1063
2049,1059
2050,1055
2051,1076
2052,1059
2053,1062
2054,1064
2055,1069
2056,1061
2057,1061
2058,1058
2059,1068
2060,1065
2061,1063
2062,1062
2063,1067
2064,1063
2065,1064
2066,1062
2067,1063
2068,1061
2069,1082
2070,1063
2071,1072
2072,1066
2073,1070
2074,1069
2075,1066
2076,1092
2077,1064
2078,1065
2079,1064
2080,1078
2081,1071
2082,1080
2083,1068
2084,1067
2085,1072
2086,1074
2087,1069
2088,1073
2089,1072
2090,1071
2091,1075
2092,1091
2093,1080
2094,1080
2095,1075
2096,1073
2097,1075
2098,1108
2099,1080
2100,1077
2101,1078
2102,1080
2103,1081
2104,1081
2105,1079
2106,1133
2107,1096
2108,1083
2109,1082
2110,1081
2111,1097
2112,1084
2113,1089
2114,1083
2115,1091
2116,1087
2117,1093
2118,1088
2119,1088
2120,1087
2121,1091
2122,1094
2123,1108
2124,1091
2125,1115
2126,1091
2127,1094
2128,1092
2129,1094
2130,1098
2131,1099
2132,1095
2133,1093
2134,1091
2135,1093
2136,1126
2137,1114
2138,1105
2139,1112
2140,1107
2141,1111
2142,1117
2143,1114
2144,1112
2145,1111
2146,1112
2147,1116
2148,1120
2149,1115
2150,1131
2151,1114
2152,1119
2153,1115
2154,1122
2155,1119
2156,1115
2157,1117
2158,1125
2159,1118
2160,1121
2161,1124
2162,1122
2163,1148
2164,1124
2165,1127
2166,1126
2167,1118
2168,1122
2169,1138
2170,1135
2171,1124
2172,1127
2173,1128
2174,1128
2175,1135
2176,1128
2177,1128
2178,1132
2179,1134
2180,1148
2181,1128
2182,1134
2183,1133
2184,1133
2185,1141
2186,1134
2187,1140
2188,1136
2189,1138
2190,1133
2191,1156
2192,1136
2193,1136
2194,1162
2195,1142
2196,1138
2197,1143
2198,1140
2199,1143
2200,1141
2201,1142
2202,1143
2203,1154
2204,1141
2205,1147
2206,1173
2207,1150
2208,1147
2209,1144
2210,1147
2211,1144
2212,1154
2213,1151
2214,1145
2215,1155
2216,1158
2217,1152
2218,1148
2219,1150
2220,1155
2221,1155
2222,1154
2223,1179
2224,1153
2225,1157
2226,1164
2227,1155
2228,1158
2229,1165
2230,1156
2231,1163
2232,1166
2233,1156
2234,1160
2235,1163
2236,1167
2237,1177
2238,1161
2239,1160
2240,1162
2241,1170
2242,1168
2243,1166
2244,1170
2245,1165
2246,1164
2247,1171
2248,1163
2249,1169
2250,1169
2251,1171
2252,1192
2253,1179
2254,1179
2255,1173
2256,1174
2257,1181
2258,1176
2259,1176
2260,1174
2261,1173
2262,1181
2263,1177
2264,1192
2265,1173
2266,1176
2267,1175
2268,1175
2269,1176
2270,1174
2271,1181
2272,1183
2273,1182
2274,1178
2275,1184
2276,1184
2277,1182
2278,1184
2279,1180
2280,1188
2281,1184
2282,1194
2283,1203
2284,1190
2285,1190
2286,1192
2287,1183
2288,1191
2289,1201
2290,1199
2291,1189
2292,1189
2293,1193
2294,1191
2295,1188
2296,1195
2297,1218
2298,1199
2299,1195
2300,1190
2301,1196
2302,1199
2303,1214
2304,1193
2305,1221
2306,1195
2307,1196
2308,1212
2309,1177
2310,1171
2311,1174
2312,1157
2313,1160
2314,1173
2315,1168
2316,1161
2317,1159
2318,1165
2319,1167
2320,1162
2321,1162
2322,1164
2323,1169
2324,1181
2325,1168
2326,1167
2327,1176
2328,1168
2329,1171
2330,1173
2331,1171
2332,1180
2333,1178
2334,1173
2335,1171
2336,1177
2337,1173
2338,1198
2339,1187
2340,1175
2341,1174
2342,1177
2343,1179
2344,1178
2345,1182
2346,1177
2347,1179
2348,1176
2349,1184
2350,1181
2351,1183
2352,1179
2353,1183
2354,1182
2355,1192
2356,1183
2357,1201
2358,1187
2359,1194
2360,1187
2361,1190
2362,1213
2363,1184
2364,1186
2365,1189
2366,1197
2367,1186
2368,1192
2369,1188
2370,1198
2371,1208
2372,1199
2373,1190
2374,1210
2375,1206
2376,1193
2377,1193
2378,1199
2379,1199
2380,1194
2381,1194
2382,1197
2383,1206
2384,1198
2385,1198
2386,1208
2387,1207
2388,1200
2389,1199
2390,1204
2391,1202
2392,1216
2393,1251
2394,1247
2395,1266
2396,1250
2397,1248
2398,1250
2399,1250
2400,1257
2401,1274
2402,1277
2403,1264
2404,1252
2405,1257
2406,1256
2407,1252
2408,1253
2409,1251
2410,1270
2411,1275
2412,1256
2413,1257
2414,1262
2415,1258
2416,1269
